competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202412,4,Sul,hemorragias,outras_hemorragias_obstetricas,502,21394,2.3465,865,134580.97,0
202412,4,Sul,infeccoes,infeccao_geniturinaria_gestacao,289,21394,1.3508,1105,69067.20,0
202412,4,Sul,infeccoes,infeccao_puerperal,114,21394,0.5329,434,44030.72,0
202412,4,Sul,outras_condicoes_maternas,anemia_complicando_gestacao,11,21394,0.0514,30,2360.26,0
202412,4,Sul,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,1091,21394,5.0996,3266,354483.12,0
202412,4,Sul,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,15,21394,0.0701,36,3064.11,0
202412,4,Sul,outras_condicoes_maternas,outras_condicoes_da_gestacao,244,21394,1.1405,701,78931.80,0
202412,4,Sul,transtornos_hipertensivos,eclampsia,65,21394,0.3038,229,52096.05,1
202412,4,Sul,transtornos_hipertensivos,hipertensao_gestacional,207,21394,0.9676,563,109803.89,0
202412,4,Sul,transtornos_hipertensivos,outros_hipertensivos,274,21394,1.2807,904,209895.18,0
